1772580516.197845 client started (25467): version 3.6a, socket /tmp/tmux-1000/default, protocol 8
1772580516.197857 on Linux 6.17.9-76061709-generic #202511241048~1764607909~24.04~df6b2b6 SMP PREEMPT_DYNAMIC Mon D
1772580516.197860 using libevent 2.1.12-stable poll
1772580516.197862 using ncurses 6.5 20240427
1772580516.197872 flags are 0x18010000
1772580516.197881 socket is /tmp/tmux-1000/default
1772580516.197890 trying connect
1772580516.197899 connect failed: No such file or directory
1772580516.197904 lock file is /tmp/tmux-1000/default.lock
1772580516.197920 flock succeeded
1772580516.197922 got lock (6)
1772580516.197926 trying connect
1772580516.197931 connect failed: No such file or directory
1772580516.198048 add peer 0x7aa63e2a89d0: 7 (0)
1772580516.198417 sending message 111 to peer 0x7aa63e2a89d0 (8 bytes)
1772580516.198421 sending message 111 to peer 0x7aa63e2a89d0 (8 bytes)
1772580516.198430 sending message 101 to peer 0x7aa63e2a89d0 (14 bytes)
1772580516.198434 sending message 109 to peer 0x7aa63e2a89d0 (4 bytes)
1772580516.198436 sending message 102 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198438 sending message 108 to peer 0x7aa63e2a89d0 (38 bytes)
1772580516.198440 sending message 112 to peer 0x7aa63e2a89d0 (70 bytes)
1772580516.198442 sending message 112 to peer 0x7aa63e2a89d0 (5 bytes)
1772580516.198443 sending message 112 to peer 0x7aa63e2a89d0 (5 bytes)
1772580516.198445 sending message 112 to peer 0x7aa63e2a89d0 (6 bytes)
1772580516.198447 sending message 112 to peer 0x7aa63e2a89d0 (6 bytes)
1772580516.198449 sending message 112 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198451 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198453 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198454 sending message 112 to peer 0x7aa63e2a89d0 (14 bytes)
1772580516.198456 sending message 112 to peer 0x7aa63e2a89d0 (9 bytes)
1772580516.198458 sending message 112 to peer 0x7aa63e2a89d0 (21 bytes)
1772580516.198460 sending message 112 to peer 0x7aa63e2a89d0 (19 bytes)
1772580516.198462 sending message 112 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198464 sending message 112 to peer 0x7aa63e2a89d0 (21 bytes)
1772580516.198465 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198467 sending message 112 to peer 0x7aa63e2a89d0 (7 bytes)
1772580516.198469 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198471 sending message 112 to peer 0x7aa63e2a89d0 (7 bytes)
1772580516.198472 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198474 sending message 112 to peer 0x7aa63e2a89d0 (9 bytes)
1772580516.198476 sending message 112 to peer 0x7aa63e2a89d0 (21 bytes)
1772580516.198478 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198480 sending message 112 to peer 0x7aa63e2a89d0 (9 bytes)
1772580516.198481 sending message 112 to peer 0x7aa63e2a89d0 (16 bytes)
1772580516.198483 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198485 sending message 112 to peer 0x7aa63e2a89d0 (9 bytes)
1772580516.198487 sending message 112 to peer 0x7aa63e2a89d0 (9 bytes)
1772580516.198489 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198490 sending message 112 to peer 0x7aa63e2a89d0 (8 bytes)
1772580516.198492 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198494 sending message 112 to peer 0x7aa63e2a89d0 (8 bytes)
1772580516.198496 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198498 sending message 112 to peer 0x7aa63e2a89d0 (7 bytes)
1772580516.198499 sending message 112 to peer 0x7aa63e2a89d0 (7 bytes)
1772580516.198501 sending message 112 to peer 0x7aa63e2a89d0 (9 bytes)
1772580516.198503 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198505 sending message 112 to peer 0x7aa63e2a89d0 (6 bytes)
1772580516.198507 sending message 112 to peer 0x7aa63e2a89d0 (9 bytes)
1772580516.198508 sending message 112 to peer 0x7aa63e2a89d0 (15 bytes)
1772580516.198510 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198512 sending message 112 to peer 0x7aa63e2a89d0 (9 bytes)
1772580516.198517 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198519 sending message 112 to peer 0x7aa63e2a89d0 (8 bytes)
1772580516.198521 sending message 112 to peer 0x7aa63e2a89d0 (14 bytes)
1772580516.198523 sending message 112 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198525 sending message 112 to peer 0x7aa63e2a89d0 (9 bytes)
1772580516.198527 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198529 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198530 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198532 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198534 sending message 112 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198536 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198537 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198539 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198541 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198543 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198545 sending message 112 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198546 sending message 112 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198548 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198550 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198552 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198553 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198555 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198557 sending message 112 to peer 0x7aa63e2a89d0 (9 bytes)
1772580516.198559 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198560 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198562 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198564 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198566 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198568 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198569 sending message 112 to peer 0x7aa63e2a89d0 (8 bytes)
1772580516.198571 sending message 112 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198573 sending message 112 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198575 sending message 112 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198577 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198578 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198580 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198582 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198584 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198586 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198587 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198589 sending message 112 to peer 0x7aa63e2a89d0 (8 bytes)
1772580516.198591 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198593 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198595 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198596 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198598 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198600 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198602 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198604 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198605 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198607 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198609 sending message 112 to peer 0x7aa63e2a89d0 (8 bytes)
1772580516.198611 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198613 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198614 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198616 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198618 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198622 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
